id,stock_id,stock_arabic_name,stock_name,sector,bio_en,bio_ar,latest_price,updated_at
"12","1320","انابيب السعودية","SSP","11","Saudi Steel Pipe Company (SSP) is a leading manufacturer and supplier of electrically resistance welded steel pipes (ERW) for the energy, industrial and construction segments in the Middle East and North Africa. SSP offers oil and gas customers a full ran","الأنابيب السعودية شركة رائدة في تصنيع وتوريد الأنابيب الصلبة الملحومه كهربائيا (ERW) لقطاعات الطاقة والصناعة والإنشاء في الشرق الأوسط وشمال أفريقيا. تنتج الأنابيب السعودية لخدمة زبائنها في قطاع البترول والغاز مجموعة كاملة من المنتجات تشمل أنابيب تبطين  الآبار (OCTG) وخطوط أنابيب البترول والغاز (LP) ","26.4","2023-06-13 07:50:03"
"13","2001","كيمانول","CHEMANOL","11","Chemanol is one of the most integrated and low-cost global producers of methanol and derivatives and one of the worlds largest formaldehyde producers situated in a single location, and the biggest in the GCC. A publicly listed Saudi joint-stock company wi","تعد كيمانول واحدة من أفضل منتجي الميثانول منخفض التكلفة ومشتقاته وأكثرها تكاملا على المستوى العالمي، كما أنها واحدة من أكبر منتجي الفورمالدهيد في موقع واحد في العالم، والأكبر في دول مجلس التعاون الخليجي . كيمانول هي شركة مساهمة سعودية عامة مدرجة في السوق ","26.1","2023-06-13 07:45:04"
"14","2002","بتروكيم","Petrochem","11","Petrochem main activity is the Development, construction, operation and Maintenance of Petrochemical industrial plants. Petrochem founded itself on a strong strategic alliance with Chevron Phillips Petrochemical Company, a partner with experience in the c","نشاط الشركة يتمركز في تنمية وتطوير وإقامة وتشغيل وإدارة وصيانة المصانع البتروكيماوية ، حيث وضعت لنفسها قاعدة قوية متماسكة،تتمثل في تحالفها الإستراتيجي مع شريك ذو خبرة تنافسية في مجال صناعة البتروكيماويات، معززة بذلك قدراتها الفنية والاستثمارية في هذا المج","45.45","2023-05-11 01:35:00"
"15","2010","سابك","SABIC","11","Setting up of petrochemical, fertilizer, iron and steel, aluminum, and other basic hydrocarbon industries, plastic industries and innovative, and marketing of their products, as well as business research and technical support.","إنشاء صناعات البتروكيماويات والأسمدة والحديد والصلب والألمنيوم ، وغيرها من الصناعات الهيدروكربونية الأساسية ، والصناعات البلاستيكية المبتكرة ، وتسويق منتجاتها ، إلى جانب الأعمال البحثية والتقنية المساندة.","89.3","2023-06-13 07:50:03"
"16","2020","سابك للمغذيات","SAFCO","11","Production, conversion and manufacturing, marketing and trading in fertilizers and agri-nutrients of all types including, without limitation, Ammonia and Urea","و يتمثل نشاط الشركة الرئيسي في تصنيع وتسويق الأسمدة الكيماوية (الأمونيا واليوريا )، و تمتلك %100 من أسهم شركة سابك لاستثمارات المغذيات الزراعية","130.2","2023-06-13 07:45:04"
"17","2090","جبسكو","NGC","11","The nature of the company's business is the manufacture and production of gypsum and its derivatives extracted from the concession areas granted to the company. Entities that do business similar to theirs either in Saudi Arabia or abroad and to merge, bu","تتمثل طبيعة أعمال الشركة في صناعة وإنتاج الجبس ومشتقاته المستخرج من مناطق الإمتياز الممنوحة للشركة وللشركة أيضاً الإتجار في الجبس وفيما يتفرع منه من مواد وصناعات وإنتاج مختلف المواد التي يمكن إستخراجها من الجبس آلياً أو كيماوياً ","27.1","2023-06-13 07:50:03"
"18","2150","زجاج","Zoujaj","11","he glass company produces returnable and non-returnable glass bottles related to soft drinks, juices and food packages through its two factories in Riyadh and Dammam. The company sells its products inside and outside the Kingdom. The company also invests ","تقوم شركة زجاج بإنتاج العبوات الزجاجية الالمرتجعة وغير المرتجعة المتعلقة بالمشروبات الغازية والعصيرات والعبوات الخاصة بالأطعمة من خلال مصنعيها في كل من الرياض والدمام . وتقوم الشركة ببيع منتجاتها داخل المملكة وخارج المملكة . كما أن الشركة تستثمر في صناعة ","38.05","2023-06-13 07:50:03"
"19","2170","اللجين","Alujain","11","Alujain Holding Corporation's objective is to identify, promote, develop and invest in major industrial projects in the petrochemicals, mining, metals and energy sectors in the Kingdom of Saudi Arabia by taking advantage of the Kingdom's natural resourc","يتمثل نشاط الشركة في الاستثمار والتطوير للمشاريع الصناعيّة الكبرى في مجال البتروكيماويات والتعدين والمعادن وقطاعات الطاقة في المملكة العربية السعودية ، عن طريق الاستفادة من الموارد الطبيعية والهيدروكربونية والمعادن الموجودة في المملكة والتي تعد من الركائز","44.3","2023-06-13 07:50:03"
"20","2180","فيبكو","FIPCO","11","The company is engaged in production of Polypropylene bags with coated an un-coated low density Polyethylene for heavy duty purposes and Cable filler, Valve Cement bags, Leno bags, Rachel bags, Strapping bands, Serving thread and Marketing them inside and","انتاج الاكياس المنسوجة من البولي بروبيلين المبطن باكياس بولي اثيلين منخفض الكثافة وغير مبطن للاستخدامات الشاقة و اكياس كبيرة الحجم و طرابيل بلاستيكية و اشرطة تربيط بلاستيكية و حشوات بلاستيكية للكابلات و خيوط بلاستيكية و اكياس شبكية لتعبئة الخضروات و الفواكه ورولات منسوجة من البولي بروبلين وبطانات إثيلين","43.45","2023-06-13 07:50:03"
"21","2200","أنابيب","APC","11","The company manufactures and markets longitudinally welded steel pipes for oil and gas pipelines, commercial and construction purposes, and markets them for sizes from 6 to 48 inches. The company has the first two factories in Riyadh with an average produ","تقوم الشركة بتصنيع وتسويق أنابيب الصلب الملحومة طوليا لأنابيب النفط والغاز والأغراض التجارية والأنشائية وتسويقها للمقاسات من 6 بوصة الى 48 بوصة وتمتلك الشركة مصنعين الأول بمدينة الرياض بمتوسط طاقة انتاجية تبلغ 160 الف طن سنويا للمقاسات من 6 الى 20 بوصة وا","61.1","2023-06-13 07:50:03"
"22","2210","نماء للكيماويات","Nama Chemicals","11","Depends on the investment activities of the company owning the establishment and operation of industrial projects in the field of chemical and petrochemical industries. Including JANA project and producing epoxy capacity of 120 Thousand tonnes per annum i","يعتمد نشاط الشركة على الاستثمار وامتلاك وإنشاء وتشغيل المشاريع الصناعية في مجال الصناعات الكيماوية والبتروكيماوية. ومنها مشروع جنا وينتج مادة الايبوكسي بطاقة انتاجية تبلغ 120 الف طن سنوياً بالإضافة الى مشروع صودا والذي ينتج 50 الف طن سنوياً ","36.55","2023-06-13 07:50:03"
"23","2220","معدنية","Maadaniyah","11","Manufacturing and marketing of drawn wire and related products, various sizes of axles and spare parts for trailers & dumping trucks, steel and non-steel casting, and trading in related products.","شركة صناعية يتمثل نشاطها في إنتاج وتسويق منتجات سحب الأسلاك والمثبتات ، وتصنيع محاور المقطورات والشاحنات وقطع الغيار والمسبوكات المعدنية المتنوعة ، والتجارة في المنتجات المشابهه ، وتمتلك الشركة ثلاث مصانع هى مصنع سحب الأسلاك ومنتجاتها بمدينة الجبيل الصناع","22.16","2023-06-13 07:50:03"
"24","2230","الكيميائية","Chemical","9","1-Explosives for cival use 2-Certain military materials and explosives 3- Trading and manufacturing of certain categories of pharmaceutical products","1- صناعة المتفجرات للأغراض المدنية. 2- صناعة المتفجرات للأغراض العسكرية. 3- وكيل للعديد من كبريات شركات تجارة الأدوية والمستحضرات والمحاليل الطبية.","38.95","2023-06-13 07:50:03"
"25","2240","الزامل للصناعة","Zamil Indust","11","Zamil Industrial Investment Company (Zamil Industrial) is a premier business group engaged in the development of innovative design and engineering solutions for use in the construction industry. Also a leading manufacturer and fabricator of construction m","شركة الزامل للاستثمار الصناعي (الزامل للصناعة) مجموعة صناعية وإنتاجية رائدة تقوم بتوفير أنظمة وخدمات هندسية متكاملة ومنتجات عالية الجودة لتلبية متطلبات صناعة الإنشاءات العالمية. تشمل منتجات وحلول الشركة: المباني الحديدية سابقة الهندسة، والهياكل الإنشائية ","21.74","2023-06-13 07:50:03"
"26","2250","مجموعة السعودية","SIIG","11","Founded as a joint venture company under the Saudi Arabia regulations, with Commercial Registration No. 1010139946 issued from Riyadh on 10/8/1416 H, corresponding to 1/1/1996. At inception the company had a capital value of SR550,000,000 divided into 55,","تأسست الشركة كشركة مساهمة سعودية وفقاً لأنظمة المملكة بموجب السجل التجاري رقم 1010139946 الصادر من الرياض بتاريخ 10/8/1416 هـ ) الموافق 1/1/1996 م (برأس مال عند إنشائها550.000.000 ريال سعودي مقسم إلى 55.000.000 سهماً عادياً بقيمة اسمية قدرها 10 ريالات سعو","26.55","2023-06-13 07:50:03"
"28","2290","ينساب","YANSAB","11","To produce ethylene, propylene, ethylene glycol, low leaner density polyethylene, high density polyethylene, polypropylene, MTBE, butene and BTX .","تهدف الشركة إلى إنتاج مواد الإثيلين، البروبلين ، بولي إثيلين منخفض الكثافة، بولي إثلين عالي الكثافة، بولي بروبلين، إثيلين جلايكول، ميثيل ثالي بيوتيل الإثير، خليط المركبات العطرية.","46.6","2023-06-13 07:35:03"
"29","2300","صناعة الورق","SPM","11","The Saudi Paper Manufacturing Company (SPMC) is considered one of the leading tissue manufacturers in the Arab World. Its business activity is mainly comprised of the manufacture of high quality tissue paper to meet the needs of local and international ma","تعد الشركة السعودية لصناعة الورق من الشركات الرائدة في صناعة الورق الصحي في الوطن العربي و يتمثل نشاطها في إنتاج ورق صحي ذو جودة عالية لتلبية احتياجات الأسواق المحلية والخارجية.كما وأن نشاطها يعود بفائدة كبيرة على البيئة والمجتمع ","33.3","2023-06-13 07:50:03"
"30","2310","سبكيم العالمية","Sipchem","11","Sipchem was founded in late 1999 as a Saudi closed joint stock company with the objective of becoming a major petrochemical manufacturer, providing high quality basic and intermediate petrochemical products for world markets. Sipchem itself acts as holdin","أسست سبكيم في أواخر عام 1999 كشركة سعودية مساهمة مقفلة بهدف أن تصبح من الشركات الرئيسية في إنتاج البتروكيماويات والتي تزود الأسواق العالمية بمنتجات بتروكيماوية أساسية ووسيطة ذات جودة عالية. وهي كذلك شركة قابضة لمجموعة من الشركات التابعة لها","36.65","2023-06-13 07:50:03"
"31","2330","المتقدمة","Advanced","11","CATOFIN-ABB Lumus technology is used to convert Propane gas into propylene with a capacity of 455 KTA. It will produce 450,000 tones per annum of polypropylene. The company will utilize proven technologies provided by ABB Lumus and Novolen Technology Hold","إنتاج مادة البروبلين بطاقة إنتاجية (455) ألف طن سنوياً وذلك بتقنية CATOFIN يتم إستخدامها كلقيم لمصنع البولي بروبلين بطاقة إنتاجية (450) ألف طن سنوياً وذلك بتقنية NOVOLEN وسوف يسوق المنتج في الأسواق المحلية والإقليمية والعالمية من خلال المسوقين المحليين ","44.9","2023-06-13 07:50:03"
"32","2350","كيان السعودية","Saudi Kayan","11","Saudi Kayan moved into commercial phase on 1 October 2011 and has commenced production of some specialized chemicals produced for the first time in Saudi Arabia. These products include Ethanolamines (MEA, DEA & TEA), Ethoxylates, Phenol, Cumene and Polyca","تتمثل أغراض الشركة في المقام الأول في تشييد وإدارة وتشغيل مجمع صناعي عملاق وهو يعد أكبر مشروع صناعي في العالم يشيد دفعة واحدة يقع في مدينة الجبيل الصناعية لإنتاج : الإثيلين، البروبيلين، البولي بروبيلين ، البولي إثيلين عالي و منخفض الكثافة ، جلايكول الإثيل","13.74","2023-06-13 07:45:04"
"33","3001","اسمنت حائل","HCC","11","Produce, distribution and trade in all types of cement and trading in Cement and its derivatives and building materials inside and outside the Kingdom of Saudi Arabia, the Company in this regard has the right to engage in all types of real estate contract","الإنتاج والتوزيع والإتجار بالأسمنت وجميع أنواعه ومشتقاته ومواد البناء وتوابعها ومشتقاتها داخل المملكة العربية السعودية وخارجها وللشركة في سبيل تحقيق هذا الغرض الحق في أن تبرم كافة أنواع العقود في العقار.","12.68","2023-06-13 07:40:04"
"34","3002","اسمنت نجران","Najran Cement","11","The principal activities of the company are manufacturing and marketing of diversified qualities of cement, In addition, it is also authorized to manufacture and market building materials.","يتمثل النشاط الرئيسى فى انتاج و تسويق وبيع الأسمنت البورتلاندى العادى و المقاوم و مواد البناء و تأسيس أو الأشتراك فى تأسيس شركات الخدمات الصناعية بغرض توفير الصيانة ، و الخدمات للمصانع و إدارة و تشغيل مصانع الأسمنت وتملك الأراضى و العقارات و براءات الإختراع","14.2","2023-06-13 07:50:03"
"35","3003","اسمنت المدينة","City Cement","11","City Cement Company is engaged in the production and sale of all types of cements. The factory is located 135 km from the city of Riyadh. with a capacity of 10,500 tons per day and cement grinding capacity of 16,000 tons/day.","تقوم الشركة بإنتاج وبيع جميع أنواع الأسمنت من خلال مصنع الشركة في محافظة مرات نحو 135 كم شمال غرب مدينة الرياض وبطاقة انتاجية تبلغ 10,500 طن كلنكر وطاقة طحن 16,000 طن أسمنت يوميا","23.78","2023-06-13 07:30:05"
"36","3004","اسمنت الشمالية","Northern Cement","11","Company main activity: Production of all kinds of cement pursuant to the Industrial License No. 900/I dated 28/04/1426H and amended under number 1405/I dated 26/07/1426H. Managing and operating Portland cement (regular and resistant or other) plants. Whol","إنتاج الاسمنت بأنواعه بموجب الترخيص الصناعي رقم 900/ ص وتاريخ 28/4/1426هـ المعدل بالقرار الوزاري رقم (1405/ ص) وتاريخ 26/7/1426هـ، إدارة وتشغيل مصانع الإسمنت البورتلاندي بجميع أنواعه، تجارة الجملة والتجزئة في منتجات الشركة ومواد البناء بما في ذلك استيراده","12.04","2023-06-13 07:45:04"
"37","3005","اسمنت ام القرى","UACC","11","The Company's business is to produce Portland Cement of all types and produce White Cement , Manage and operate Portland and White Cement Plant , Contracting of general buildings, construction works, mechanical and electrical works .","يتمثل نشاط الشركة فى إنتاج الأسمنت البورتلاندى بأنواعه وإنتاج الأسمنت الأبيض وإدارة وتشغيل مصانع الأسمنت البورتلاندى والأسمنت الأبيض ، والمقاولات العامة للمبانى وأعمال التركيب وإنشاء الأعمال الميكانيكية والكهربائية","18.58","2023-06-13 07:25:04"
"38","3010","اسمنت العربية","ACC","11","The company s main activity is to produce cement and clinker through the company s plant located in Rabigh, north of Jeddah, which is near the company s main markets. Due to the cement demand growth, a new production line (Line 5) was added in 1417H (1996","عمليات الشركة الرئيسية لإنتاج الاسمنت والكلنكر تعمل من خلال مصنع الشركة الواقع برابغ شمال محافظة جدة وبقرب من أسواق الشركة الرئيسية، وبسبب نمو الطلب على مادة الأسمنت، تم إضافة خط جديد (الخط الخامس) عام 1417هـ (1996م) بطاقة إنتاجية 4000 طن كلنكر يومياً، وب","38.2","2023-06-13 07:40:04"
"39","3020","اسمنت اليمامة","YSCC","11","Manufacture and produce of cement and its derivatives and components, as well traded it inside and outside the Kingdom of Saudi Arabia, as well the management and operation of cement plants of all kinds.","صناعة وانتاج الاسمنت وتوابعه ومشتقاته ومكوناته والإتجار به داخل وخارج المملكة العربية السعودية، وادارة وتشغيل مصانع الاسمنت بجميع أنواعها.","35.35","2023-06-13 07:40:04"
"40","3030","الأسمنت السعودي","SCC","11","Carrying out all necessary works for manufacturing, production and marketing of all types of clinker and cement, and its subcategories and derivatives inside and outside the kingdom of Saudi Arabia, the company also exports cement and clinker through the ","القيام بكافة الأعمال اللازمة لصناعة وإنتاج وتسويق جميع أنواع الكلنكر والإسمنت وتوابعه ومشتقاته داخل المملكة العربية السعودية وخارجها، وتقوم الشركة بتصدير الإسمنت والكلنكر عبر محطة التصدير التابعة للشركة في ميناء الملك عبدالعزيز بالدمام.","58.1","2023-06-13 07:50:03"
"41","3040","اسمنت القصيم","QACCO","11","Manufacturing Cement and Trading in it","صناعة وانتاج الاسمنت ومشتقاته والاتجار فيه","72.4","2023-06-13 07:50:03"
"42","3050","اسمنت الجنوب","spcc","11","The main activities of SPCC include the Production and Sales of Cement","نشاط الرئيسي للشركة في صناعة وانتاج الأسمنت ومشتقاته وتوابعه والأ تجار بتلك المنتجات والقيام بجميع الأعما ل المتصلة بصورة مباشرة لتحقيق هذه الأغراض","51.9","2023-06-13 07:45:04"
"43","3060","اسمنت ينبع","YCC","11","Yanbu Cement company produces Ordinary Portland Cement (OPC), Sulphate Resisting Cement (SRC) , Portland Pozzolana Cement (PPC) and Masonry Cement.","نتاج الاسمنت البورتلاندي العادي و الاسمنت المقاوم و الاسمنت البوزلاني و اسمنت أعمال التشطيب واللياسه.","38.9","2023-06-13 07:45:04"
"44","3080","اسمنت الشرقية","EPCCO","11","Manufacture of Cement and Clinker","صناعة الاسمنت والكلنكر","48","2023-06-12 12:15:03"
"45","3090","اسمنت تبوك","TCC","11","Manufacturing of Pozolani, Ordinary, Resistant and Clinker","انتاج اسمنت العادي ,اسمنت البوزلاني ,اسمنت مقاوم و الكلنكر","16.92","2023-06-13 07:35:04"
"46","3091","اسمنت الجوف","Jouf Cement","11","The main activity of the company is the production of all types of cement","يتمثل نشاط الشركة الرئيس في إنتاج جميع انواع الاسمنت","12.76","2023-06-13 07:40:04"
"48","1212","أسترا الصناعية","Astra Indust","2","The company is mainly engaged through its subsidiaries in the following activities: Production, marketing and distribution of medicine and Pharmaceutical products, polymer compounds, plastic additives, color concentrates and other plastic products, in add","تمثل أنشطة الشركة في إنشاء وإدارة وتشغيل والاستثمار في المنشآت الصناعية حيث تتمثل النشاطات الرئيسية للشركات التابعة بما يلي : إنتاج وتسويق وتوزيع الأدوية والمستحضرات الدوائية. إنتاج المركبات الكيميائية والمواد البلاستيكية المضافة ومركزات الألوان ","84.4","2023-06-13 07:50:03"
"49","1302","بوان","Bawan","2","The Company serves as a holding company for a group of companies whose core activities include manufacturing a variety of metal, wood, concrete, electrical and Plastic products.","تعمل الشركة بمثابة شركة قابضة لمجموعة شركات تتضمن أنشطتها الرئيسية تصنيع مجموعة متنوعة من المنتجات المعدنية، والخشبية والخرسانية والكهربائية والبلاستيكية.","35.45","2023-06-13 07:50:03"
"50","1303","صناعات كهربائية","EIC","2","Manufacturing,delivery and repair of Electrical Transformers , compact Substations , Lv Control Panels , Cable Trays, Mv & Lv Switch gears , other electrical products and Service related to these activities.","تصنيع وتجميع وتوريد واصلاح وصيانة المحولات الكهربائية ومحطات التوزيع الكهربائية ومحطات التوزيع المدمجة ولوحات التوزيع الكهربائية ذات الجهد المنخفض وحوامل الكابلات ولوحات المفاتيح الكهربائية ذات الجهد المنخفض والمتوسط والمعدات الكهربائية الاخرى بالاضافة ال","44.9","2023-06-13 07:45:04"
"53","2040","الخزف السعودي","Saudi Ceramics","2","Manufacturing & selling of all types of ceramics products, water heaters & their components. The company capital amount is SR800 million divided into 80 million shares of SR 10 each. The financial year commences on January 1 and ends on December,31 of eac","تتمثل النشاطات الرئيسية للشركة في إنتاج وبيع المنتجات الخزفية و سخانات المياه ومكوناتهما واستيراد ما يتطلبه ذلك من معدات وآلات ومواد مكملة . يبلغ رأسمال الشركة المصرح به والمدفوع بالكامل مبلغ 800 مليون ريال سعودي. ","33.9","2023-06-13 07:50:03"
"54","2060","التصنيع","TASNEE","11","TASNEE establishes and participates in the establishment of industrial, chemical and petrochemical projects and manages profitably contribute to the growth of the national economy and technology transfer it from the pursuit of the future vision and ambiti","انشاء والمشاركة في اقامة المشاريع الصناعية والكيماوية والبتروكيماوية وادارتها بطريقة مربحة تساهم في نمو الاقتصاد الوطني ونقل التقنية لة انطلاقا من السعي لتحقيق الرؤية المستقبلية الطموحة والمتمثلة بكونها شركة صناعية رائدة محليا واقليميا وعالميا ","15.12","2023-06-13 07:50:03"
"55","2110","الكابلات","SCC","2","Saudi Cable Company was established as a limited liability company in the year 1396H (1976G) with an initial capital of SR3.5 million and main objective of Manufacturing/ Trading of and dealing in copper rod, power cables and wires ( all sizes and tension","إن شركة الكابلات السعودية هي شركة مساهمة تملك عدة شركات صناعية في كل من المملكة العربية السعودية ومملكة البحرين ودولة تركيا ، وتعمل جميع هذه الشركات في مجال تصنيع وتوريد وتركيب وإختبار وتشغيل وصيانة الكابلات الكهربائية بدءاً من الكابلات ذات الجهد ","57.2","2023-05-18 13:20:05"
"56","2140","ايان للاستثمار","AYYAN","9","The company aims to invest in development projects (industrial and service), both developed and run or contribute with other local companies or global, as follows: 1-take an active role in promoting industrial development 2-to encourage import substitutio","تهدف الشركة إلى إستثمار في المشاريع التنموية ( الصناعية والخدمية ) سواء بتطويرها وتشغيلها أو المساهمة مع شركات أخرى محلية أو عالمية وذلك كما يلي : 1-القيام بدور فعال في تعزيز التنمية الصناعية 2-تشجيع بدائل الإستيراد والتسويق العالمي للمنتجات","19.58","2023-06-13 07:45:04"
"57","2160","اميانتيت","Amiantit","2","Manufacturing of pipes with different kinds and applications, tanks and fittings, owns technology, manufacturing of machinery for the producing of the pipes, water management projects and contracting.","صناعة الانابيب على اختلاف أنواعها والخزانات والوصلات وتملك التقنية وتصنيع الآلات اللازمة للأنابيب وإدارة مشاريع المياه والمقاولات.","46.8","2023-06-13 07:40:04"
"58","2190","سيسكو","SISCO","20","Saudi Industrial Services Company (SISCO) is considered one of the major listed companies in the Saudi Stock Exchange Market. It operates and invests through number of affiliate companies in three main sectors: 1.Ports & Terminals: The company work on dev","تعتبر شركة سيسكو من احدى الشركات الكبرى المدرجة في سوق المال السعودي، والتي تعمل و تستثمر من خلال عدد من الشركات التابعة والزميلة بشكل أساسي في ثلاث قطاعات رئيسية هي: 1.قطاع الموانئ: تعمل الشركة على تطوير وإنشاء وتشغيل و صيانة محطات الحاويات ومناولتها وتف","29.35","2023-06-13 07:50:03"
"59","2320","البابطين","ALBABTAIN","2","AL-Babtain Power & Telecommunication Company is engaged in manufacturing steel, electrical distribution and lighting poles, high masts, stadium masts and monopoles, the company also operates high voltage transmission and communication towers plant, steel ","تمتلك شركة البابطين للطاقة و الاتصالات عددا من المصانع في المملكة العربية السعودية وجمهورية مصر العربية وتقوم بتصميم وإنتاج أعمدة و صواري وفوانيس إنارة الشوارع و الملاعب و الساحات وكذلك أبراج وأعمدة نقل الطاقة و الاتصالات و المنشآت الحديدية ","28.8","2023-06-13 07:50:03"
"60","2360","الفخارية","SVCP","2","SVCP Activity includes production, manufacture, import, export and sale of clay pipe, joints, fittings and accessories, for sizes from DN 100 to 1200, where the company is keen to provide high quality and meet international standards and specifications es","شمل نشاط الشركة انتاج وتصنيع واستيراد وتصدير وبيع الانابيب الفخارية وتوصيلاتها وملحقاتها من متممات ووصلات مطاطية وخلافها بمقاسات مختلفة من 100 ملم الى 1200 ملم، حيث تحرص الشركة على تقديم حلول متكاملة ذات جودة عالية ومطابقة للمواصفات العالمية والمواصفات ال","48.1","2023-06-13 07:50:03"
"61","2370","مسك","MESC","2","Middle East specialized cables Company MESC and its subsidiaries is considered a world class and state of the art manufacturer of Industrial cables that consist of instrumentation data & control cables which are used in industrial projects refineries and ","تعتبر شركة الشرق الأوسط للكابلات المتخصصة (مسك) ومجموعتها رائدة في صناعة الكابلات الصناعية التي تشتمل على كابلات نقل المعلومات وكابلات التحكم للأجهزة والمعدات والتي تستخدم بشكل رئيسي بالمعامل الصناعية , معامل تكرير النفط , والمصانع البتروكيماوية","16.2","2023-06-13 07:50:04"
